RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           73     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.441D-01  5.716D-01
    1    2     1     0  ---    0  3.4D+00  1.0D+00  2.517D-02  4.314D-01
    2    3     0     0  con    0  1.0D+00  1.7D-01  1.766D-02  4.244D-01
    3    4     0     0  con    0  1.0D+00  7.6D-01  2.026D-02  4.030D-01
    4    5     0     0  con    0  1.0D+00  3.2D+00  5.456D-02  3.577D-01
    5    7     0     0  con    1  3.7D-01  9.2D-01  5.693D-02  3.383D-01
    6    8     0     0  con    0  1.0D+00  1.8D+00  1.164D-01  3.204D-01
    7    9     0     0  con    0  1.0D+00  2.1D+00  7.839D-02  2.895D-01
    8   10     0     0  con    0  1.0D+00  2.2D+00  7.973D-02  2.769D-01
    9   11     0     0  con    0  1.0D+00  8.8D-01  3.033D-02  2.507D-01
   10   12     0     0  con    0  1.0D+00  7.3D-01  3.847D-02  2.411D-01
   11   13     0     0  con    0  1.0D+00  5.4D-01  2.265D-02  2.306D-01
   12   14     0     0  con    0  1.0D+00  8.3D-01  2.646D-02  2.284D-01
   13   15     0     0  con    0  1.0D+00  2.7D-01  3.430D-02  2.272D-01
   14   16     0     0  con    0  1.0D+00  1.9D-01  1.814D-02  2.262D-01
   15   17     0     0  con    0  1.0D+00  7.6D-02  6.481D-03  2.256D-01
   16   18     0     0  con    0  1.0D+00  1.1D-01  1.133D-02  2.252D-01
   17   19     0     0  con    0  1.0D+00  8.9D-02  1.187D-02  2.247D-01
   18   20     0     0  con    0  1.0D+00  2.2D-01  1.200D-02  2.243D-01
   19   21     0     0  con    0  1.0D+00  1.1D-01  8.697D-03  2.235D-01
   20   22     0     0  con    0  1.0D+00  2.0D-01  8.375D-03  2.224D-01
   21   23     0     0  con    0  1.0D+00  4.3D-01  1.290D-02  2.207D-01
   22   24     0     0  con    0  1.0D+00  8.4D-01  2.115D-02  2.180D-01
   23   25     0     0  con    0  1.0D+00  1.5D+00  5.412D-02  2.154D-01
   24   26     0     0  con    0  1.0D+00  3.1D-01  2.546D-02  2.118D-01
   25   27     0     0  con    0  1.0D+00  7.1D-01  1.437D-02  2.092D-01
   26   28     0     0  con    0  1.0D+00  1.3D+00  1.428D-02  2.075D-01
   27   30     0     0  con    1  4.8D-01  1.4D-01  1.884D-02  2.070D-01
   28   31     0     0  con    0  1.0D+00  4.0D-01  1.074D-02  2.065D-01
   29   32     0     0  con    0  1.0D+00  1.9D-01  2.819D-03  2.064D-01
   30   33     0     0  con    0  1.0D+00  6.1D-02  2.910D-03  2.063D-01
   31   34     0     0  con    0  1.0D+00  2.1D-01  4.215D-03  2.060D-01
   32   35     0     0  con    0  1.0D+00  2.6D-01  7.398D-03  2.055D-01
   33   36     0     0  con    0  1.0D+00  7.1D-01  1.061D-02  2.042D-01
   34   37     0     0  con    0  1.0D+00  1.7D+00  2.109D-02  2.025D-01
   35   39     0     0  con    1  8.9D-02  2.9D-01  2.079D-02  2.022D-01
   36   40     0     0  con    0  1.0D+00  7.5D-01  5.337D-02  2.008D-01
   37   41     0     0  con    0  1.0D+00  1.0D+00  1.979D-02  1.996D-01
   38   42     0     0  con    0  1.0D+00  5.0D-01  7.970D-03  1.986D-01
   39   43     0     0  con    0  1.0D+00  8.5D-01  9.756D-03  1.982D-01
   40   45     0     0  con    1  2.6D-01  5.1D-01  2.943D-03  1.981D-01
   41   46     0     0  con    0  1.0D+00  2.0D-01  1.962D-03  1.980D-01
   42   47     0     0  con    0  1.0D+00  3.2D-01  2.802D-03  1.978D-01
   43   48     0     0  con    0  1.0D+00  8.5D-01  1.290D-02  1.973D-01
   44   49     0     0  con    0  1.0D+00  5.9D-01  1.656D-02  1.968D-01
   45   50     0     0  con    0  1.0D+00  6.1D-01  1.237D-02  1.963D-01
